,BLOCKLOT,REC:PROG,REC:Neighborhood,REC:Address
423,3301078,1,CENTRAL PARK HEIGHTS,3411 DUPONT AV
424,1506086,1,BEREA,2612 LLEWELYN AV
425,4511A044,1,ARLINGTON,5333 CORDELIA AVE
426,4010N021,1,EAST BALTIMORE MIDWAY,2314 GARRETT AV
427,2735004,1,CENTRAL FOREST PARK,3919 MAINE AV
428,1118009,1,OLIVER,1617 N BOND ST
429,4587041,1,CENTRAL PARK HEIGHTS,3043 SPAULDING AV
430,4587040,1,,3045 SPAULDING AV
431,3057009,1,,2305 GARRISON BLVD
432,3057010,1,,2307 GARRISON BLVD
433,2931004,1,CALLAWAY-GARRISON,3705 EGERTON ROAD
434,4039031,1,,515 E 23RD ST
435,2717002,1,,4002 BOARMAN AV
436,0005011,1,SANDTOWN-WINCHESTER,1663 W NORTH AVE
437,0060005,1,SANDTOWN-WINCHESTER,1008 N MOUNT ST
438,0060049,1,SANDTOWN-WINCHESTER,1021 N FULTON AVE
439,0060050,1,SANDTOWN-WINCHESTER,1019 N FULTON AVE
440,0060066,1,SANDTOWN-WINCHESTER,1704 MOSHER ST
441,0061030,1,SANDTOWN-WINCHESTER,1045 N MOUNT ST
442,0061044,1,SANDTOWN-WINCHESTER,1017 N MOUNT ST
443,0073024,1,SANDTOWN-WINCHESTER,930 N MOUNT ST
444,0073029,1,SANDTOWN-WINCHESTER,920 N MOUNT ST
445,0073030,1,SANDTOWN-WINCHESTER,918 N MOUNT ST
446,0074002,1,SANDTOWN-WINCHESTER,929 N MOUNT ST
447,0102026,1,HARLEM PARK,1215 W LANVALE ST
448,0110043,1,HARLEM PARK,1626 EDMONDSON AVE
449,0110044,1,HARLEM PARK,1624 EDMONDSON AVE
450,0110051,1,HARLEM PARK,1610 EDMONDSON AVE
451,0117003,1,MIDTOWN-EDMONDSON,504 N PULASKI ST
452,0117004,1,MIDTOWN-EDMONDSON,506 N PULASKI ST
453,0117039,1,MIDTOWN-EDMONDSON,2100 W FRANKLIN ST
454,0118021,1,MIDTOWN-EDMONDSON,541 N PULASKI ST
455,0118022,1,MIDTOWN-EDMONDSON,543 N PULASKI ST
456,0122060,1,HARLEM PARK,1624 W FRANKLIN ST
457,0149065,1,FRANKLIN SQUARE,325 N FULTON AVE
458,0168032,1,FRANKLIN SQUARE,228 N CAREY ST
459,0177020,1,PENROSE/FAYETTE STREET OUTREACH,1947 W LEXINGTON ST
460,0177021,1,PENROSE/FAYETTE STREET OUTREACH,1949 W LEXINGTON ST
461,0199001,1,POPPLETON,1220 W BALTIMORE ST
462,0207016,1,BOYD-BOOTH,27 S PAYSON ST
463,0214006,1,FRANKLIN SQUARE,1411 W BALTIMORE ST
464,0227054,1,CARROLLTON RIDGE,38 S FULTON AVE
465,0228018,1,UNION SQUARE,1735 HOLLINS ST
466,0243057,1,CARROLLTON RIDGE,118 S FULTON AVE
467,0243058,1,CARROLLTON RIDGE,116 S FULTON AVE
468,0250063,1,HOLLINS MARKET,110 S ARLINGTON AVE
469,0262011,1,NEW SOUTHWEST/MOUNT CLARE,1621 W PRATT ST
470,0262056,1,NEW SOUTHWEST/MOUNT CLARE,230 S GILMOR ST
471,0263015,1,NEW SOUTHWEST/MOUNT CLARE,205 S GILMOR ST
472,0283019,1,WASHINGTON VILLAGE/PIGTOWN,855 MCHENRY ST
473,0300C070,1,SANDTOWN-WINCHESTER,1551 N WOODYEAR ST
474,0302058,1,DRUID HEIGHTS,554 GOLD ST
475,0314017,1,DRUID HEIGHTS,2032 DRUID HILL AVE
476,0321001,1,DRUID HEIGHTS,1900 DRUID HILL AVE
477,0321072,1,DRUID HEIGHTS,1900 ETTING ST
478,0321095,1,DRUID HEIGHTS,1915 ETTING ST
479,0323025,1,MADISON PARK,1917 MCCULLOH ST
480,0329006,1,DRUID HEIGHTS,1810 MCCULLOH ST
481,0339005,1,UPTON,1708 DRUID HILL AVE
482,0342025,1,MADISON PARK,1700 EUTAW PL
483,0348027,1,UPTON,1633 DIVISION ST
484,0368030,1,BOLTON HILL,1511 BOLTON ST
485,0376022,1,UPTON,515 MOSHER ST
486,0376029,1,UPTON,1411 DIVISION ST
487,0378030,1,MADISON PARK,1403 MCCULLOH ST
488,0387018,1,CHARLES NORTH,101 W NORTH AVE
489,0388019,1,CHARLES NORTH,29 W NORTH AVE
490,0410038,1,GREENMOUNT WEST,1708 GUILFORD AVE
491,0430035,1,UPTON,836 HARLEM AVE
492,0452044,1,UPTON,859 HARLEM AVE
493,0547A009,1,SETON HILL,420 W FRANKLIN ST
494,0576036,1,DOWNTOWN,320 N EUTAW ST
495,0595025,1,DOWNTOWN,411 W SARATOGA ST
496,0643008,1,DOWNTOWN,311 W BALTIMORE ST
497,0703010,1,CARROLLTON RIDGE,2019 WILKENS AVE
498,0706013,1,NEW SOUTHWEST/MOUNT CLARE,1725 WILKENS AVE
499,0707029,1,NEW SOUTHWEST/MOUNT CLARE,1628 COLE ST
500,0707030,1,NEW SOUTHWEST/MOUNT CLARE,1630 COLE ST
501,0718026,1,CARROLLTON RIDGE,600 S PULASKI ST
502,0719B020,1,CARROLLTON RIDGE,638 S MONROE ST
503,0719B027,1,CARROLLTON RIDGE,605 S PAYSON ST
504,0758079,1,WASHINGTON VILLAGE/PIGTOWN,912 S CAREY ST
505,0850017,1,WASHINGTON VILLAGE/PIGTOWN,911 WASHINGTON BLVD
506,0856A069,1,WASHINGTON VILLAGE/PIGTOWN,627 ARCHER ST
507,0856A070,1,WASHINGTON VILLAGE/PIGTOWN,629 ARCHER ST
508,0858042,1,WASHINGTON VILLAGE/PIGTOWN,768 W HAMBURG ST
509,0858141,1,WASHINGTON VILLAGE/PIGTOWN,815 MANGOLD ST
510,1095056,1,GREENMOUNT WEST,312 E LAFAYETTE AVE
511,1096006,1,GREENMOUNT WEST,428 E LAFAYETTE AVE
512,1096009,1,GREENMOUNT WEST,422 E LAFAYETTE AVE
513,1103027,1,GREENMOUNT WEST,319 E LAFAYETTE AVE
514,1103045,1,GREENMOUNT WEST,320 E LANVALE ST
515,1109035,1,OLIVER,1624 E LANVALE ST
516,1125010,1,OLIVER,1422 E OLIVER ST
517,1125011,1,OLIVER,1424 E OLIVER ST
518,1127037,1,OLIVER,1631 E FEDERAL ST
519,1127050,1,OLIVER,1518 N BROADWAY
520,1138034,1,OLIVER,1631 E OLIVER ST
521,1138035,1,OLIVER,1633 E OLIVER ST
522,1161042,1,OLIVER,1200 N EDEN ST
523,1175027,1,JOHNSTON SQUARE,1116 N EDEN ST
524,1177001,1,GAY STREET,1122 N BOND ST
525,1177002,1,GAY STREET,1120 N BOND ST
526,1184038,1,JOHNSTON SQUARE,943 E CHASE ST
527,1184044,1,JOHNSTON SQUARE,931 E CHASE ST
528,1184047,1,JOHNSTON SQUARE,925 E CHASE ST
529,1189001,1,JOHNSTON SQUARE,1050 N EDEN ST
530,1237002,1,OLDTOWN,914 E MONUMENT ST
531,1284011,1,JONESTOWN,353 N GAY ST
532,1284012,1,JONESTOWN,351 N GAY ST
533,1284013,1,JONESTOWN,347 N GAY ST
534,1284014,1,JONESTOWN,343 N GAY ST
535,1320001,1,PLEASANT VIEW GARDENS,200 N CENTRAL AVE
536,1320001A,1,PLEASANT VIEW GARDENS,249 AISQUITH ST
537,1331002,1,DOWNTOWN,404 E BALTIMORE ST
538,1345007,1,WASHINGTON HILL,1512 E BALTIMORE ST
539,1395023,1,WASHINGTON HILL,116 S BROADWAY
540,1395024,1,WASHINGTON HILL,114 S BROADWAY
541,1416035,1,WASHINGTON HILL,250 S EDEN ST
542,1445001,1,FELLS POINT,500 S BROADWAY
543,1466074,1,BROADWAY EAST,1708 E FEDERAL ST
544,1466078,1,BROADWAY EAST,1700 E FEDERAL ST
545,1468020,1,BROADWAY EAST,1639 N WOLFE ST
546,1471030,1,BROADWAY EAST,2120 E FEDERAL ST
547,1487005,1,BEREA,2608 E OLIVER ST
548,1494020,1,BROADWAY EAST,1703 E OLIVER ST
549,1494039,1,BROADWAY EAST,1741 E OLIVER ST
550,1494065,1,BROADWAY EAST,1720 LLEWELYN AVE
551,1494080,1,BROADWAY EAST,1752 LLEWELYN AVE
552,1503005,1,BROADWAY EAST,1409 N PATTERSON PARK AVE
553,1506010,1,BEREA,2618 E HOFFMAN ST
554,1506030,1,BEREA,1410 N LAKEWOOD AVE
555,1509027,1,BEREA,1420 N POTOMAC ST
556,1533036,1,BROADWAY EAST,2037 E PRESTON ST
557,1534005,1,BROADWAY EAST,2108 E BIDDLE ST
558,1538013,1,BEREA,1213 N MILTON AVE
559,1544028,1,BEREA,3113 E PRESTON ST
560,1553038,1,MIDDLE EAST,2245 E BIDDLE ST
561,1569029,1,MIDDLE EAST,1028 N COLLINGTON AVE
562,1570041,1,MIDDLE EAST,1006 N PATTERSON PARK AVE
563,1591062,1,MILTON-MONTFORD,2402 ASHLAND AVE
564,1608016,1,MILTON-MONTFORD,831 N MONTFORD AVE
565,1608036,1,MILTON-MONTFORD,2423 ASHLAND AVE
566,1621016,1,MIDDLE EAST,731 N CHESTER ST
567,1621061,1,MIDDLE EAST,706 N DUNCAN ST
568,1621077,1,MIDDLE EAST,709 N DUNCAN ST
569,1646034E,1,ELLWOOD PARK/MONUMENT,614 N ELLWOOD AVE
570,1647001,1,ELLWOOD PARK/MONUMENT,601 N ELLWOOD AVE
571,1647001I,1,ELLWOOD PARK/MONUMENT,619 N ELLWOOD AVE
572,1653019,1,CARE,504 N PATTERSON PARK AVE
573,1653044,1,CARE,2229 MCELDERRY ST
574,1655034,1,MCELDERRY PARK,530 N MILTON AVE
575,1656055,1,MCELDERRY PARK,2502 JEFFERSON ST
576,1670021,1,CARE,2219 JEFFERSON ST
577,1670057,1,CARE,400 N PATTERSON PARK AVE
578,1672045,1,MCELDERRY PARK,434 N MILTON AVE
579,1674080,1,MCELDERRY PARK,435 N GLOVER ST
580,1677059,1,ELLWOOD PARK/MONUMENT,435 N CURLEY ST
581,1677063,1,ELLWOOD PARK/MONUMENT,427 N CURLEY ST
582,1678043,1,ELLWOOD PARK/MONUMENT,455 N ROBINSON ST
583,1688067,1,CARE,2204 E FAYETTE ST
584,1688074,1,CARE,2206 MULLIKIN ST
585,1691040,1,MCELDERRY PARK,214 N LUZERNE AVE
586,1691091,1,MCELDERRY PARK,244 N ROSE ST
587,1706015,1,BUTCHER'S HILL,2205 E FAYETTE ST
588,1711104,1,PATTERSON PARK NEIGHBORHOOD,129 N BELNORD AVE
589,1712106,1,PATTERSON PARK NEIGHBORHOOD,147 N STREEPER ST
590,1744069,1,UPPER FELLS POINT,1743 E LOMBARD ST
591,1746045,1,UPPER FELLS POINT,125 S WOLFE ST
592,1750086,1,PATTERSON PARK NEIGHBORHOOD,128 S CURLEY ST
593,1754088,1,UPPER FELLS POINT,208 S DURHAM ST
594,1761155,1,HIGHLANDTOWN,266 S EAST AVE
595,1764048,1,UPPER FELLS POINT,1904 BANK ST
596,1767067,1,UPPER FELLS POINT,303 S MADEIRA ST
597,1772064,1,UPPER FELLS POINT,410 S DURHAM ST
598,1828057,1,FELLS POINT,1733 FLEET ST
599,1828065,1,FELLS POINT,1709 FLEET ST
600,1835036,1,CANTON,2215 FLEET ST
601,1838009,1,CANTON,616 S LUZERNE AVE
602,1849024,1,CANTON,2300 CAMBRIDGE ST
603,1883008,1,CANTON,1015 S KENWOOD AVE
604,1883044,1,CANTON,1015 S STREEPER ST
605,1924C048,1,RIVERSIDE,533 E GITTINGS ST
606,2140002,1,MILLHILL,2609 FREDERICK AVE
607,2252034,1,SAINT JOSEPHS,122 S CULVER ST
608,2281B003,1,LOWER EDMONDSON VILLAGE,404 N HILTON ST
609,2283016,1,LOWER EDMONDSON VILLAGE,3433 EDMONDSON AVE
610,2294006,1,ALLENDALE,3931 EDMONDSON AVE
611,2295001,1,ALLENDALE,4023 EDMONDSON AVE
612,2350057,1,BRIDGEVIEW/GREENLAWN,2310 CALVERTON HEIGHTS AVE
613,2359018,1,EVERGREEN LAWN,2403 CALVERTON HEIGHTS AVE
614,2362053,1,EVERGREEN LAWN,2501 HARLEM AVE
615,2362068,1,EVERGREEN LAWN,2531 HARLEM AVE
616,2365034,1,BRIDGEVIEW/GREENLAWN,2511 MOSHER ST
617,2366028,1,BRIDGEVIEW/GREENLAWN,2542 MOSHER ST
618,2393062,1,WINCHESTER,2707 WINCHESTER ST
619,2401A013,1,COPPIN HEIGHTS/ASH-CO-EAST,2725 W NORTH AVE
620,2402010,1,COPPIN HEIGHTS/ASH-CO-EAST,2767 W NORTH AVE
621,2402017,1,COPPIN HEIGHTS/ASH-CO-EAST,2753 W NORTH AVE
622,2402018,1,COPPIN HEIGHTS/ASH-CO-EAST,2751 W NORTH AVE
623,2402024,1,COPPIN HEIGHTS/ASH-CO-EAST,2739 W NORTH AVE
624,2402025,1,COPPIN HEIGHTS/ASH-CO-EAST,2737 W NORTH AVE
625,2447055,1,WINCHESTER,1012 ELLICOTT DRIVEWAY
626,2482B032,1,FRANKLINTOWN ROAD,608 POPLAR GROVE ST
627,2483032,1,EDGEWOOD,632 N HILTON ST
628,2484008,1,EDGEWOOD,3414 EDMONDSON AVE
629,2484017,1,EDGEWOOD,3432 EDMONDSON AVE
630,2485031,1,EDGEWOOD,604 LINNARD ST
631,2485046,1,EDGEWOOD,607 N GRANTLEY ST
632,2489005,1,EDMONDSON VILLAGE,3908 EDMONDSON AVE
633,2503019,1,EDGEWOOD,734 N EDGEWOOD ST
634,2503051,1,EDGEWOOD,721 LINNARD ST
635,2504021,1,EDGEWOOD,740 LINNARD ST
636,2504089,1,EDGEWOOD,779 N GRANTLEY ST
637,2505003,1,EDGEWOOD,704 N GRANTLEY ST
638,2505A089,1,EDGEWOOD,778 N GRANTLEY ST
639,2535007,1,IRVINGTON,300 S AUGUSTA AVE
640,2539002,1,IRVINGTON,202 S LOUDON AVE
641,2539025,1,IRVINGTON,264 S LOUDON AVE
642,2541018,1,IRVINGTON,11 S AUGUSTA AVE
643,2542017,1,IRVINGTON,212 S COLLINS AVE
644,2542018,1,IRVINGTON,214 S COLLINS AVE
645,2544010,1,IRVINGTON,4209 MASSACHUSETTS AVE
646,2700007,1,WEST ARLINGTON,4701 W BELVEDERE AVE
647,2718010,1,DORCHESTER,4003 BOARMAN AVE
648,2718022,1,DORCHESTER,4027 BOARMAN AVE
649,2735004,1,CENTRAL FOREST PARK,3919 MAINE AVE
650,2740008,1,CENTRAL FOREST PARK,3307 OAKFIELD AVE
651,2742020,1,CONCERNED CITIZENS OF FOREST PARK,3924 NORFOLK AVE
652,2750A018,1,CONCERNED CITIZENS OF FOREST PARK,4016 FAIRFAX ROAD
653,2752A012,1,CONCERNED CITIZENS OF FOREST PARK,3100 CHELSEA TERR
654,2812017,1,MOUNT HOLLY,2215 ROSLYN AVE
655,2826C003,1,WINDSOR HILLS,2404 CHELSEA TERR
656,2849034,1,WINDSOR HILLS,4033 WOODHAVEN AVE
657,2852020,1,WINDSOR HILLS,4007 DUVALL AVE
658,2856001,1,WINDSOR HILLS,2807 LAWINA ROAD
659,2856012,1,WINDSOR HILLS,2900 N LOUDON AVE
660,2903015,1,FOREST PARK,3604 SPRINGDALE AVE
661,2911002,1,FOREST PARK,3541 LIBERTY HEIGHTS AVE
662,2913002B,1,FOREST PARK,3304 N HILTON ST
663,2921001,1,FOREST PARK,3625 FAIRVIEW AVE
664,2934004,1,CALLAWAY-GARRISON,3601 GARRISON BLVD
665,2959B053,1,DOLFIELD,3936 DOLFIELD AVE
666,2960052,1,DOLFIELD,4305 GARRISON BLVD
667,2960062,1,DOLFIELD,3900 RIDGEWOOD AVE
668,3006017,1,WALBROOK,2796 1/2 W NORTH AVE
669,3008030,1,PANWAY/BRADDISH AVENUE,2027 BRADDISH AVE
670,3022007,1,WALBROOK,3021 WINDSOR AVE
671,3022020,1,WALBROOK,2104 N LONGWOOD ST
672,3022021,1,WALBROOK,3000 CLIFTON AVE
673,3022022,1,WALBROOK,3002 CLIFTON AVE
674,3036005,1,WALBROOK,3301 ELGIN AVE
675,3039025,1,WALBROOK,3312 ELGIN AVE
676,3057009,1,HANLON-LONGWOOD,2305 GARRISON BLVD
677,3057010,1,HANLON-LONGWOOD,2307 GARRISON BLVD
678,3067017,1,HANLON-LONGWOOD,3313 POWHATAN AVE
679,3100D026,1,EAST ARLINGTON,3246 SEQUOIA AVE
680,3230020,1,PARKVIEW/WOODBROOK,2818 AUCHENTOROLY TERR
681,3233017,1,PARKVIEW/WOODBROOK,2305 WHITTIER AVE
682,3233018,1,PARKVIEW/WOODBROOK,2303 WHITTIER AVE
683,3233019,1,PARKVIEW/WOODBROOK,2301 WHITTIER AVE
684,3234025,1,PARKVIEW/WOODBROOK,2310 WHITTIER AVE
685,3235016,1,PARKVIEW/WOODBROOK,1605 GWYNNS FALLS PKWY
686,3235033,1,PARKVIEW/WOODBROOK,1641 GWYNNS FALLS PKWY
687,3235038,1,PARKVIEW/WOODBROOK,2322 BRYANT AVE
688,3236026A,1,PARKVIEW/WOODBROOK,3446 AUCHENTOROLY TERR
689,3239008,1,PARKVIEW/WOODBROOK,1634 GWYNNS FALLS PKWY
690,3240007,1,PARKVIEW/WOODBROOK,1712 GWYNNS FALLS PKWY
691,3241020,1,PARKVIEW/WOODBROOK,2206 BRYANT AVE
692,3242010,1,PARKVIEW/WOODBROOK,2204 WHITTIER AVE
693,3250032,1,LIBERTY SQUARE,2412 LIBERTY HEIGHTS AVE
694,3252005,1,LIBERTY SQUARE,3012 REISTERSTOWN ROAD
695,3252012,1,LIBERTY SQUARE,2304 OCALA AVE
696,3263019,1,BURLEITH-LEIGHTON,2523 LIBERTY HEIGHTS AVE
697,3265A013,1,MONDAWMIN,2432 REISTERSTOWN ROAD
698,3307A013,1,CENTRAL PARK HEIGHTS,4227 PARK HEIGHTS AVE
699,3307A014,1,CENTRAL PARK HEIGHTS,4229 PARK HEIGHTS AVE
700,3307A017,1,CENTRAL PARK HEIGHTS,4235 PARK HEIGHTS AVE
701,3321011,1,CENTRAL PARK HEIGHTS,3920 PARK HEIGHTS AVE
702,3322041,1,PARK CIRCLE,3809 REISTERSTOWN ROAD
703,3324004,1,PARK CIRCLE,3606 PARK HEIGHTS AVE
704,3325005,1,PARK CIRCLE,3508 PARK HEIGHTS AVE
705,3326004,1,PARK CIRCLE,3406 PARK HEIGHTS AVE
706,3327A032,1,PARK CIRCLE,2621 VIOLET AVE
707,3327C021,1,PARK CIRCLE,3429 PARK HEIGHTS AVE
708,3327C029,1,PARK CIRCLE,3413 PARK HEIGHTS AVE
709,3327C035,1,PARK CIRCLE,3401 PARK HEIGHTS AVE
710,3335003,1,PARK CIRCLE,3705 PARK HEIGHTS AVE
711,3335019,1,PARK CIRCLE,3737 PARK HEIGHTS AVE
712,3341016,1,GREENSPRING,3831 PARK HEIGHTS AVE
713,3341018,1,GREENSPRING,3835 PARK HEIGHTS AVE
714,3347F034,1,GREENSPRING,2625 LOYOLA NORTHWAY
715,3347F041,1,GREENSPRING,2611 LOYOLA NORTHWAY
716,3347F045,1,GREENSPRING,4202 PALL MALL ROAD
717,3349012,1,GREENSPRING,2620 LOYOLA NORTHWAY
718,3349A016,1,GREENSPRING,2540 BOARMAN AVE
719,3350A032A,1,PARKLANE,2554 W COLD SPRING LANE
720,3357H011,1,WOODBERRY,2276 DRUID PARK DR
721,3404027,1,PENN NORTH,2552 WOODBROOK AVE
722,3422027,1,RESERVOIR HILL,2328 MADISON AVE
723,3423009,1,RESERVOIR HILL,1130 W NORTH AVE
724,3424042,1,RESERVOIR HILL,2342 EUTAW PL
725,3427031,1,RESERVOIR HILL,2247 EUTAW PL
726,3445021,1,RESERVOIR HILL,811 NEWINGTON AVE
727,3445040,1,RESERVOIR HILL,2217 BROOKFIELD AVE
728,3453001J,1,RESERVOIR HILL,2427 CALLOW AVE
729,3453027,1,RESERVOIR HILL,2304 MOUNT ROYAL TERR
730,3454004,1,RESERVOIR HILL,2319 CALLOW AVE
731,3454010,1,RESERVOIR HILL,2307 CALLOW AVE
732,3457004,1,RESERVOIR HILL,806 WHITELOCK ST
733,3457005,1,RESERVOIR HILL,808 WHITELOCK ST
734,3457015,1,RESERVOIR HILL,2409 LAKEVIEW AVE
735,3457029I,1,RESERVOIR HILL,2438 CALLOW AVE
736,3457042,1,RESERVOIR HILL,2406 CALLOW AVE
737,3459021,1,RESERVOIR HILL,912 NEWINGTON AVE
738,3461001,1,RESERVOIR HILL,916 WHITELOCK ST
739,3461004,1,RESERVOIR HILL,914 WHITELOCK ST
740,3461018,1,RESERVOIR HILL,2412 LAKEVIEW AVE
741,3461042,1,RESERVOIR HILL,2407 BROOKFIELD AVE
742,3463D025,1,RESERVOIR HILL,948 BROOKS LANE
743,3463E016D,1,RESERVOIR HILL,816 BROOKS LANE
744,3552011,1,HAMPDEN,3733 FALLS ROAD
745,3552012,1,HAMPDEN,3735 FALLS ROAD
746,3630A031,1,REMINGTON,2650 MILES AVE
747,3638044,1,CHARLES VILLAGE,2606 MARYLAND AVE
748,3638045,1,CHARLES VILLAGE,2604 MARYLAND AVE
749,3644043,1,REMINGTON,2710 HUNTINGDON AVE
750,3649019,1,CHARLES VILLAGE,2836 MARYLAND AVE
751,3649040,1,CHARLES VILLAGE,2811 N HOWARD ST
752,3723037,1,GUILFORD,3718 GREENMOUNT AVE
753,3732A035,1,OAKENSHAWE,200 E UNIVERSITY PKWY
754,3801007,1,BARCLAY,1913 SAINT PAUL ST
755,3801012,1,BARCLAY,1923 SAINT PAUL ST
756,3801014,1,BARCLAY,1927 SAINT PAUL ST
757,3805035,1,BARCLAY,415 E 21ST ST
758,3805037,1,BARCLAY,419 E 21ST ST
759,3805038,1,BARCLAY,421 E 21ST ST
760,3806054,1,BARCLAY,349 E 21ST ST
761,3813055,1,BARCLAY,318 E 21ST ST
762,3813056,1,BARCLAY,316 E 21ST ST
763,3814018,1,BARCLAY,413 E 22ND ST
764,3814053,1,BARCLAY,430 E 21ST ST
765,3823001A,1,BARCLAY,2315 GUILFORD AVE
766,3823032,1,BARCLAY,2336 BARCLAY ST
767,3823036,1,BARCLAY,2328 BARCLAY ST
768,3823049,1,BARCLAY,312 E 23RD ST
769,3823050,1,BARCLAY,310 E 23RD ST
770,3825010,1,BARCLAY,449 E 25TH ST
771,3825016,1,BARCLAY,2458 GREENMOUNT AVE
772,3825042,1,BARCLAY,2427 BRENTWOOD AVE
773,3825050,1,BARCLAY,2461 BRENTWOOD AVE
774,3826005,1,BARCLAY,2409 BARCLAY ST
775,3826057,1,BARCLAY,2430 BRENTWOOD AVE
776,3826065,1,BARCLAY,2414 BRENTWOOD AVE
777,3826072,1,BARCLAY,2400 BRENTWOOD AVE
778,3827015,1,BARCLAY,2429 GUILFORD AVE
779,3829043,1,BARCLAY,118 E 24TH ST
780,3836A013,1,HARWOOD,437 E 27TH ST
781,3836A014,1,HARWOOD,435 E 27TH ST
782,3836A015,1,HARWOOD,433 E 27TH ST
783,3836A065,1,HARWOOD,433 E LORRAINE AVE
784,3836A099,1,HARWOOD,2639 BARCLAY ST
785,3845008E,1,HARWOOD,407 E 28TH ST
786,3845045,1,HARWOOD,439 WHITRIDGE AVE
787,3855016,1,ABELL,2956 GREENMOUNT AVE
788,3872B018,1,OAKENSHAWE,329 E UNIVERSITY PKWY
789,3877014,1,ABELL,3224 ABELL AVE
790,3884013,1,OAKENSHAWE,419 CALVIN AVE
791,3903A046,1,WAVERLY,515 E 39TH ST
792,3913060,1,PEN LUCY,614 DUMBARTON AVE
793,3913063,1,PEN LUCY,620 DUMBARTON AVE
794,3913B005,1,PEN LUCY,608 WYANOKE AVE
795,3953027,1,COLDSTREAM HOMESTEAD MONTEBELLO,1600 E 29TH ST
796,3954028,1,COLDSTREAM HOMESTEAD MONTEBELLO,1727 E 30TH ST
797,3956002,1,COLDSTREAM HOMESTEAD MONTEBELLO,3003 THE ALAMEDA
798,3956038,1,COLDSTREAM HOMESTEAD MONTEBELLO,1622 E 30TH ST
799,3960029,1,COLDSTREAM HOMESTEAD MONTEBELLO,1725 E 32ND ST
800,3965066,1,COLDSTREAM HOMESTEAD MONTEBELLO,1650 CHILTON ST
801,3973D009,1,PEN LUCY,4217 IVANHOE AVE
802,4004040,1,EAST BALTIMORE MIDWAY,1907 CECIL AVE
803,4018021,1,EAST BALTIMORE MIDWAY,2006 BOONE ST
804,4018022,1,EAST BALTIMORE MIDWAY,2008 BOONE ST
805,4019004,1,EAST BALTIMORE MIDWAY,506 E 21ST ST
806,4019023,1,EAST BALTIMORE MIDWAY,527 E 22ND ST
807,4020006,1,EAST BALTIMORE MIDWAY,710 E 21ST ST
808,4039006,1,EAST BALTIMORE MIDWAY,534 E 22ND ST
809,4039008,1,EAST BALTIMORE MIDWAY,538 E 22ND ST
810,4039010,1,EAST BALTIMORE MIDWAY,542 E 22ND ST
811,4049B012,1,WAVERLY,3346 OLD YORK ROAD
812,4049C028,1,WAVERLY,3414 OLD YORK ROAD
813,4049C034,1,WAVERLY,3402 OLD YORK ROAD
814,4050E021,1,WAVERLY,811 VENABLE AVE
815,4051A017,1,BETTER WAVERLY,815 E 33RD ST
816,4053043,1,WAVERLY,3312 WESTERWALD AVE
817,4056041,1,WAVERLY,3517 OLD YORK ROAD
818,4057A060,1,WAVERLY,737 E 36TH ST
819,4059A008,1,WAVERLY,714 MCKEWIN AVE
820,4070A020,1,BETTER WAVERLY,2635 GREENMOUNT AVE
821,4070A038,1,BETTER WAVERLY,519 E 27TH ST
822,4070A063,1,BETTER WAVERLY,2607 BOONE ST
823,4070A065,1,BETTER WAVERLY,2611 BOONE ST
824,4070A075,1,BETTER WAVERLY,2631 BOONE ST
825,4071020,1,BETTER WAVERLY,505 E 28TH ST
826,4071025,1,BETTER WAVERLY,515 E 28TH ST
827,4071040,1,BETTER WAVERLY,534 E 27TH ST
828,4071045,1,BETTER WAVERLY,524 E 27TH ST
829,4072A054,1,BETTER WAVERLY,2924 LIMOND PL
830,4079003,1,BETTER WAVERLY,708 HOMESTEAD ST
831,4092016,1,BETTER WAVERLY,2938 INDEPENDENCE ST
832,4109009D,1,COLDSTREAM HOMESTEAD MONTEBELLO,2638 KIRK AVE
833,4114A005,1,COLDSTREAM HOMESTEAD MONTEBELLO,2519 AISQUITH ST
834,4114A047,1,COLDSTREAM HOMESTEAD MONTEBELLO,2653 AISQUITH ST
835,4114B001,1,COLDSTREAM HOMESTEAD MONTEBELLO,2601 ROBB ST
836,4114E047,1,COLDSTREAM HOMESTEAD MONTEBELLO,2632 ROBB ST
837,4114F008,1,COLDSTREAM HOMESTEAD MONTEBELLO,2525 GARRETT AVE
838,4114G031,1,COLDSTREAM HOMESTEAD MONTEBELLO,1547 MONTPELIER ST
839,4114G033,1,COLDSTREAM HOMESTEAD MONTEBELLO,1551 MONTPELIER ST
840,4114H009,1,COLDSTREAM HOMESTEAD MONTEBELLO,2617 KIRK AVE
841,4114H038,1,COLDSTREAM HOMESTEAD MONTEBELLO,2600 CECIL AVE
842,4114H044,1,COLDSTREAM HOMESTEAD MONTEBELLO,2612 CECIL AVE
843,4114I024,1,COLDSTREAM HOMESTEAD MONTEBELLO,2556 GARRETT AVE
844,4114I060,1,COLDSTREAM HOMESTEAD MONTEBELLO,2526 CECIL AVE
845,4123A009,1,COLDSTREAM HOMESTEAD MONTEBELLO,2548 HARFORD ROAD
846,4150017,1,BELAIR-EDISON,2832 PELHAM AVE
847,4175A003,1,SOUTH CLIFTON PARK,1940 BELAIR ROAD
848,4178A007,1,FOUR BY FOUR,2013 BELAIR ROAD
849,4178B006,1,FOUR BY FOUR,2111 BELAIR ROAD
850,4178B033,1,FOUR BY FOUR,3163 LYNDALE AVE
851,4178E067,1,BELAIR-EDISON,3220 ELMLEY AVE
